scenario,revenue,deficit,terminal_storage,storage_min,storage_max
1,43905.77777777778,0.0,-334471.1825489175,-364293.79179978184,994757.1470782565
2,43905.77777777778,0.0,413292.4112188956,150329.58245739283,1037493.2148514926
3,43905.77777777778,0.0,89406.10746507865,89406.10746507865,1042236.3967286446
4,43905.77777777778,0.0,227288.76331496442,142037.9719801123,1057756.9255584588
5,43905.77777777778,0.0,388491.19435791933,244795.5146595079,1424794.031154858
6,43905.77777777778,0.0,479760.4421879262,353053.41447769,1201751.1050904552
7,43905.77777777778,0.0,381895.2906616286,223518.334668217,1080051.3599864189
8,43905.77777777778,0.0,-201354.87734166812,-201354.87734166812,1139916.1740615815
9,43905.77777777778,0.0,-21669.515388322936,-59636.55041601858,1179005.6190847058
10,43905.77777777778,0.0,441491.65270963457,441491.65270963457,1327389.3805875385
11,43905.77777777778,0.0,-335146.7331339462,-335146.7331339462,684006.578743108
12,43905.77777777778,0.0,-27193.126941542956,-27193.126941542956,1128111.9340151134
13,43905.77777777778,0.0,200515.99928311724,45294.961061945476,858489.3004417245
14,43905.77777777778,0.0,-885076.722219785,-885076.722219785,915023.0683222611
15,43905.77777777778,0.0,-7237.348765781615,-7237.348765781615,1009716.1096750363
16,43905.77777777778,0.0,-173221.9847717767,-228680.94608385058,892062.9387505328
17,43905.77777777778,0.0,128153.35246901686,-245509.62729832612,816497.2486125432
18,43905.77777777778,0.0,397315.67303680716,314064.7923584094,1051719.1661526156
19,43905.77777777778,0.0,-159472.53520336654,-307640.5480762308,1216466.082053083
20,43905.77777777778,0.0,927201.9447960906,247456.108725901,927201.9447960906
21,43905.77777777778,0.0,-571852.6399717354,-571852.6399717354,1012561.1938288535
22,43905.77777777778,0.0,-357751.41350912955,-357751.41350912955,1158764.9915136658
23,43905.77777777778,0.0,-49878.8152032278,-49878.8152032278,1305616.6912818095
24,43905.77777777778,0.0,400994.43319830473,311193.07182512875,1190035.6658425664
25,43905.77777777778,0.0,-582535.5835235345,-582535.5835235345,963210.2046306843
