scenario,revenue,deficit,terminal_storage,storage_min,storage_max
1,43905.77777777778,0.0,-479294.91006522323,-519058.3890663757,1010982.6670723488
2,43905.77777777778,0.0,517723.2149585277,167106.1099431907,1049990.9531353237
3,43905.77777777778,0.0,85874.80995343812,85874.80995343812,1056315.1956381928
4,43905.77777777778,0.0,269718.3510866205,156050.62930681725,1077009.2340779454
5,43905.77777777778,0.0,484654.9258105587,293060.6862126767,1566392.0415398104
6,43905.77777777778,0.0,606347.2562505681,437404.55263692036,1269001.47345394
7,43905.77777777778,0.0,475860.38754883804,264691.112890956,1106735.1466485583
8,43905.77777777778,0.0,-301806.50312222366,-301806.50312222366,1186554.8987487755
9,43905.77777777778,0.0,-62226.02051776345,-112848.73388802446,1238674.1587796079
10,43905.77777777778,0.0,555322.2036128464,555322.2036128464,1436519.1741167183
11,43905.77777777778,0.0,-480195.6441785953,-480195.6441785953,601342.1049908106
12,43905.77777777778,0.0,-69590.83592205681,-69590.83592205681,1170815.9120201515
13,43905.77777777778,0.0,234021.33237748977,27059.948082594434,811319.0672556331
14,43905.77777777778,0.0,-1213435.6296263796,-1213435.6296263796,906472.5624151574
15,43905.77777777778,0.0,-42983.13168770913,-42983.13168770913,1035621.479566715
16,43905.77777777778,0.0,-264295.97969570244,-338241.2614451342,878750.5850007103
17,43905.77777777778,0.0,137537.80329202273,-360679.50306443474,777996.3314833909
18,43905.77777777778,0.0,496420.8973824094,385419.72314454603,1068958.8882034877
19,43905.77777777778,0.0,-245963.38027115527,-443520.7307683076,1311288.1094041108
20,43905.77777777778,0.0,1202935.9263947885,296608.1449678686,1202935.9263947885
21,43905.77777777778,0.0,-795803.5199623138,-795803.5199623138,1039414.9251051383
22,43905.77777777778,0.0,-510335.21801217226,-510335.21801217226,1211686.6553515545
23,43905.77777777778,0.0,-99838.42027097021,-99838.42027097021,1407488.9217090795
24,43905.77777777778,0.0,501325.9109310728,381590.7624335049,1253380.8877900885
25,43905.77777777778,0.0,-810047.444698046,-810047.444698046,950946.9395075792
26,43905.77777777778,0.0,949442.432809507,881205.6995852932,1442690.0481348843
27,43905.77777777778,0.0,-195659.40786738484,-195659.40786738484,1447275.2024879407
28,43905.77777777778,0.0,539150.0642445427,539150.0642445427,2004392.1970062354
29,43905.77777777778,0.0,624439.8683801597,596264.338937441,1131445.0404849257
30,43905.77777777778,0.0,-867477.3687841983,-867477.3687841983,1098908.9352173617
31,43905.77777777778,0.0,360066.64548224246,192691.21995654108,1169401.9389786785
32,43905.77777777778,0.0,22174.048819378193,22174.048819378193,1314615.2917999001
33,43905.77777777778,0.0,158647.58194818324,158647.58194818324,1592454.890684988
34,43905.77777777778,0.0,-622901.1787620387,-622901.1787620387,1120704.1012146438
35,43905.77777777778,0.0,-532174.4382916349,-1194455.460016917,656622.1844460012
36,43905.77777777778,0.0,25737.00536698976,-80500.4331975464,985085.7525551339
37,43905.77777777778,0.0,359548.02503851586,359548.02503851586,1398671.973584427
38,43905.77777777778,0.0,2367.9671123687294,-312627.160862311,594239.2989199142
39,43905.77777777778,0.0,124577.41635948257,124577.41635948257,1122412.7346387806
40,43905.77777777778,0.0,1089789.4834655535,1008063.9644757874,1935474.38253384
41,43905.77777777778,0.0,-184675.28050001757,-266701.8797430693,1056453.1701591054
42,43905.77777777778,0.0,-384988.7079972811,-384988.7079972811,953014.777045713
